fiscal_year,month,month_numeric,data_from_table,reits_public_issues_number_of_issues,reits_public_issues_amount_cr,invits_public_issues_number_of_issues,invits_public_issues_amount_cr,invits_private_placement_number_of_issues,invits_private_placement_amount_cr,total_no_of_issues,total_amount_cr,released_on,updated_on,data_source,data_url
2021-22,June,6,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 11: Fund raising by REITs and InvITs,,,,,1,381.63,1,381.63,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 11: Fund raising by REITs and InvITs,,,,,2,1060,2,1060,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 11: Fund raising by REITs and InvITs,,,,,2,9834.628209999999,2,9834.628209999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 11: Fund raising by REITs and InvITs,2,949.99,,,,,2,949.99,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 11: Fund raising by REITs and InvITs,,,,,1,317,1,317,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 11: Fund raising by REITs and InvITs,,,,,1,242.5,1,242.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,June,6,Table 11: Fund raising by REITs and InvITs,,,,,1,910,1,910,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 11: Fund raising by REITs and InvITs,,,,,1,416,1,416,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 11: Fund raising by REITs and InvITs,,,,,2,1430.14,2,1430.14,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 11: Fund raising by REITs and InvITs,,,,,2,3361.7,2,3361.7,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,December,12,Table 11: Fund raising by REITs and InvITs,,,1,669.2053926,,,1,669.2053926,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,January,1,Table 11: Fund raising by REITs and InvITs,0,0,1,2262.8,1,2190,2,4452.8,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,February,2,Table 11: Fund raising by REITs and InvITs,,,1,880,0,0,1,880,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,March,3,Table 11: Fund raising by REITs and InvITs,,,2,4753,1,7271,3,12024,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,April,4,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,May,5,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,June,6,Table 11: Fund raising by REITs and InvITs,1,1228,1,103,,,2,1331,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,July,7,Table 11: Fund raising by REITs and InvITs,,,1,1520,,,1,1520,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,August,8,Table 11: Fund raising by REITs and InvITs,,,1,400,,,1,400,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,September,9,Table 11: Fund raising by REITs and InvITs,,,1,6666,0,0,1,6666,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,October,10,Table 11: Fund raising by REITs and InvITs,,,,,1,694.22,1,694.22,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,November,11,Table 11: Fund raising by REITs and InvITs,,,,,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,December,12,Table 11: Fund raising by REITs and InvITs,1,3500,1,1715,,,2,5215,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,January,1,Table 11: Fund raising by REITs and InvITs,,,3,6876,,,3,6876,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,February,2,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,March,3,Table 11: Fund raising by REITs and InvITs,,,1,5455,1,3285,2,8740,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
