fiscal_year,month,month_numeric,data_from_table,only_nse_no_of_issues,only_nse_amount_cr,only_bse_no_of_issues,only_bse_amount_cr,both_nse_and_bse_no_of_issues,both_nse_and_bse_amount_cr,total_no_of_issues,total_amount_cr,released_on,updated_on,data_source,data_url
2017-18,July,7,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,4,2774.66,4,2774.66,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,873.92232,1,873.92232,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,5500.1516910850005,3,5500.1516910850005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,6,7280.38,6,7280.38,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,7,2740.8988150299997,7,2740.8988150299997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,8,11036.52,8,11036.52,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,4,808.95,4,808.95,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,8,5604.404,8,5604.404,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,1,36.2538,3,3095.999982215,4,3132.253782215,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,1,510.7868495799999,1,510.7868495799999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,2,1209.5855474999998,2,1209.5855474999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,April,4,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,1,3172.82,1,3172.82,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,May,5,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,June,6,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,July,7,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,1,2099.999968,1,2099.999968,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,1,1930.4646753899997,1,1930.4646753899997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,2,13399.999921499999,2,13399.999921499999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,3,11399.999040615,3,11399.999040615,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,1,2025.27,1,2025.27,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,14900,2,14900,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,5460.65,3,5460.65,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,8212.5,2,8212.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,2000,1,2000,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,7,42724.96,7,42724.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
