fiscal_year,month,month_numeric,data_from_table,bse_advances,bse_declines,bse_advance_decline_ratio,nse_advances,nse_declines,nse_advance_decline_ratio,msei_advances,msei_declines,msei_advance_decline_ratio,released_on,updated_on,data_source,data_url
2022-23,November,11,Table 25: Advances/Declines in Equity Cash Segment,2385,1565,1.523961661,1228,1074,1.14,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 25: Advances/Declines in Equity Cash Segment,1863,1985,0.938539043,1237,1099,1.13,0,1,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,January,1,Table 25: Advances/Declines in Equity Cash Segment,1588,2291,0.693147097,917,1454,0.63,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,February,2,Table 25: Advances/Declines in Equity Cash Segment,1005,2874,0.349686848,654,1730,0.38,0,1,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,March,3,Table 25: Advances/Declines in Equity Cash Segment,927,2960,0.313175676,773,1598,0.48,2,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,April,4,Table 25: Advances/Declines in Equity Cash Segment,2590,1271,2.037765538945712,1802,607,2.97,1,1,1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,May,5,Table 25: Advances/Declines in Equity Cash Segment,2625,1276,2.0572100313479624,1850,572,3.23,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,June,6,Table 25: Advances/Declines in Equity Cash Segment,2494,1427,1.7477224947442187,1791,664,2.7,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,July,7,Table 25: Advances/Declines in Equity Cash Segment,2236,1695,1.3191740412979351,1605,861,1.86,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,August,8,Table 25: Advances/Declines in Equity Cash Segment,2459,1490,1.6503355704697986,1626,847,1.92,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
