fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,reit_amount_inr_crore,invit_amount_inr_crore
2023-24,2023,December,12,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-12-01,121.79,85.84
2023-24,2024,January,1,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-01-01,136.1,86.54
2023-24,2024,February,2,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-02-01,142.4,126.81
2023-24,2024,March,3,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-03-01,141.95,122.41
2024-25,2024,April,4,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-04-01,140.21,121
2024-25,2024,May,5,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-05-01,90.91,208.19
2024-25,2024,June,6,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-06-01,149.28,144.95
2024-25,2024,July,7,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-07-01,154.45,158.06
2024-25,2024,August,8,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-08-01,193.29,158.5
2024-25,2024,September,9,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-09-01,202.68,162.59
2024-25,2024,October,10,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-10-01,204.9,163.61
2024-25,2024,November,11,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-11-01,201.08,161.39
2024-25,2024,December,12,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-12-01,201.08,254.15
2024-25,2025,January,1,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-01-01,311.2,160.02
2024-25,2025,February,2,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-02-01,321.13,161.12
2024-25,2025,March,3,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-03-01,334.62,161.53
