year,scheme_category,no_of_schemes_as_on_march,funds_mobilised_for_the_period_april_to_march_inr_crore,repurchase_redemption_for_the_period_april_to_march_inr_crore,net_inflow_outflow_for_the_period_april_to_march_inr_crore,net_asset_under_management_as_on_march_inr_crore,released_on,updated_on,data_source,data_url
2024,Dynamic Asset Allocation/Balanced Advantage,29,37685.56,31279.54,6406.02,233999.67,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Dynamic Asset Allocation/Balanced Advantage,28,40436.64395269,35982.69328702,4453.95066567,191809.7636731,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Dynamic Asset Allocation/Balanced Advantage,25,83995.97810483382,26998.661940039332,56997.316164804455,178862.6607365097,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Multi Asset Allocation,28,48081.42509387421,13295.447006734357,34785.978087139854,107094.48980144976,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Multi Asset Allocation,13,23915.71,4666.24,19249.47,52869.12,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Multi Asset Allocation,11,9792.4655623,3722.1150693,6070.350493,26590.889226,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Multi Asset Allocation,10,5798.765561018404,4300.520799008224,1498.24476201018,19582.47600212496,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Arbitrage Fund,31,276940.2549117166,226140.16618668,50800.088725036534,204086.87599079893,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Arbitrage Fund,26,141708.22,72680.97,69027.25,134220.64,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Arbitrage Fund,26,67917.90681503,103089.24759054,-35171.34077551,67435.21446817,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Arbitrage Fund,25,122159.1190920249,99403.09074746243,22756.0383445625,95216.5708564242,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Equity Savings Fund,23,29742.58595929225,18877.071633073334,10865.514326218914,41260.391349327794,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Equity Savings Fund,22,13534.71,6592.69,6942.02,25642.91,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Equity Savings Fund,22,6228.45319353,7330.7746388,-1102.32144527,16012.07390811,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Equity Savings Fund,22,13126.478304623159,7210.224956314141,5916.253348309025,16664.064130478466,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Retirement Fund,29,4110.6798475939095,2168.9272205023594,1941.7526270915514,29104.49934614439,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Retirement Fund,26,2390.17,1336.61,1053.56,24038.99,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Retirement Fund,26,2473.55093487,1363.68854794,1109.86238693,17993.42108083,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Retirement Fund,25,2338.655334135997,1581.2515796068587,757.4037545291384,16405.532726651512,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Childrens' Fund,12,2223.272846468,872.6646713663322,1350.6081751016682,22077.513382056837,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Childrens' Fund,10,1161.21,568.42,592.79,18388.45,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Childrens' Fund,10,1239.4085619,513.16626719,726.24229471,14340.1098572,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Childrens' Fund,10,1061.274111956,554.1422980120001,507.13181394399993,13131.23528960016,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Index Funds,309,119855.9877174269,60550.33237995176,59305.65533747514,283397.1336898825,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Index Funds,185,34872.49,26529.61,8342.88,199659.22,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Index Funds,177,126510.73842815,30840.11355562,95670.62487253,167517.16740667,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Index Funds,93,55917.40173335753,11147.099271620327,44770.3124617372,68675.73366935263,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,GOLD ETFs,20,19400.119376746,4547.9919953710005,14852.127381375,58887.990915681214,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
