fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,equity_gross_purchase_inr_crore,equity_gross_sales_inr_crore,equity_net_purchase_sales_inr_crore,debt_gross_purchase_inr_crore,debt_gross_sales_inr_crore,debt_net_purchase_sales_inr_crore,total_gross_purchase_inr_crore,total_gross_sales_inr_crore,total_net_purchase_sales_inr_crore
2016-17,2016,April,4,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-04-14,16445.6,17021.3,-575.7000000000007,131311,95788.1,35522.899999999994,147756.6,112809.40000000001,34947.2
2016-17,2016,May,5,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-05-14,25928.3,18779.9,7148.399999999998,131681.1,133998.1,-2317,157609.4,152778,4831.399999999998
2016-17,2016,June,6,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-06-14,21006.3,21092.6,-86.29999999999927,148113.4,104059.7,44053.7,169119.69999999998,125152.29999999999,43967.399999999994
2016-17,2016,July,7,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-07-14,24126.4,24159.9,-33.5,111661.7,92008.8,19652.899999999994,135788.1,116168.70000000001,19619.399999999994
2016-17,2016,August,8,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-08-14,29722.9,27006,2716.9000000000015,127544.9,123452,4092.899999999994,157267.8,150458,6809.799999999996
2016-17,2016,September,9,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-09-14,31271.1,27429.6,3841.5,168344.3,114997.9,53346.399999999994,199615.4,142427.5,57187.899999999994
2016-17,2016,October,10,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-10-14,30583.6,21455.1,9128.5,123212,98574.8,24637.199999999997,153795.6,120029.9,33765.7
2016-17,2016,November,11,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-11-14,43262.2,29487,13775.199999999997,138621.7,125982.1,12639.600000000006,181883.90000000002,155469.1,26414.800000000003
2016-17,2016,December,12,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-12-14,31836.1,22657.2,9178.899999999998,126486.1,103089.8,23396.300000000003,158322.2,125747,32575.2
2016-17,2017,January,1,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-01-14,37985.7,32752.2,5233.499999999996,113866,82761.1,31104.899999999994,151851.7,115513.3,36338.399999999994
