fiscal_year,month,month_numeric,data_from_table,no_of_issues,amount_rs.crore,released_on,updated_on,data_source,data_url
2020-21,September,9,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,1,149.71,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,3,2697.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,1,142.53,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,5,5600.219999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,1,216.44,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,2,899.6700000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,6,3581.0899999999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,4,1808.4099999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,4,1693.6799999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,5,1999.1100000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,1,50,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,4,1584.46,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,2,590.5699999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,1,104.44,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,1,177.65,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,6,1343.35,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 7: Resource Mobilisation through Public Issue of Corporate Bonds,2,339.03000000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
