fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,northern_no_of_issues,northern_amount_cr,eastern_no_of_issues,eastern_amount_cr,western_no_of_issues,western_amount_cr,southern_no_of_issues,southern_amount_cr,central_no_of_issues,central_amount_cr,foreign_no_of_issues,foreign_amount_cr,released_on,updated_on,data_source,data_url
2018-19,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),8,602.475718,,,1,13.32,5,515.535718,2,73.62,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,500.07225289999997,2,449.6222529,,,2,50.449999999999996,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),9,1754.9854500000001,3,55.47865,1,10.23,4,1666.2768,1,23,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),8,304.2462736,2,5.27,1,211.04,3,54.266000000000005,1,26.4602736,1,7.21,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),10,3168.70262,2,1822.37,1,18.49,6,1303.02044,1,24.82218,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),11,50196.01242175,3,24951.473783,,,8,25244.53863875,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),3,52.5777837,1,30.86,,,2,21.7177837,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),9,2010.9101726,2,482.1489726,1,1485,6,43.7612,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),8,4680.9754414,3,67.879652,,,4,3423.2463734000003,1,1189.849416,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,20.519599999999997,,,,,4,20.519599999999997,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),10,986.2201706000001,2,655.89,,,6,242.1568074,2,88.1733632,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),2,24.213,,,,,2,24.213,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
