fiscal_year,year,month,month_numeric,data_from_table,measure_type,portfolio_category,line_item,value,released_on,updated_on,data_source,data_url
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,equity_derivative,103.8621,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,mutual_fund,8842.9496,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,others,16439.490899999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,total,617207.9143,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,discretionary,,49114,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,non_discretionary,,5176,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,advisory,,11010,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,listed_equity,15496.176500000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,unlisted_equity,1659.7773,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,plain_debt,476901.13839999994,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,structured_debt,911.095,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,equity_derivative,115.92930000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,mutual_fund,4101.581999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,others,16182.652499999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,total,515368.35,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,listed_equity,4579.354300000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,unlisted_equity,71.2979,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,plain_debt,18416.864199999996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,structured_debt,720.932,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,equity_derivative,0.0001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,mutual_fund,5159.6406,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,others,306.47769999999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,total,29254.566799999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,advisory,total,78198,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,listed_equity,20075.5308,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,unlisted_equity,1731.0752,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,plain_debt,495318.00259999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,structured_debt,1632.027,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,equity_derivative,115.92940000000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,mutual_fund,9261.222599999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,others,16489.1302,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,total,622820.9168,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
