fiscal_year,month,month_numeric,data_from_table,listed_only_on_bse_no_of_issues,listed_only_on_bse_amount_rs.crore,listed_only_on_nse_no_of_issues,listed_only_on_nse_amount_rs.crore,listed_both_on_nse_and_bse_no_of_issues,listed_both_on_nse_and_bse_amount_rs.crore,total_no_of_issues,total_amount_rs.crore,released_on,updated_on,data_source,data_url
2017-18,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,194,24969.46,88,20353.77,19,18495.5,301,63818.73,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,133,8226.41,156,12433.26,12,12729.2,301,33388.87,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,June,6,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,249,29706.62,95,20830.7,26,24800,370,75337.32,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,July,7,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,96,20890.95,60,13995.2,6,14147,162,49033.15,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,August,8,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,94,19796.13,50,14841,11,16915,155,51552.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,September,9,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,127,20926.37,33,12049.75,10,17845,170,50821.12,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,October,10,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,177,24988.02,26,11283.25,10,7875,213,44146.27,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,November,11,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,99,20694,30,10840,16,19321,145,50855,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,69,12080.2,43,13218,14,15810,126,41108.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,162,9875.49,75,11167.72,20,6660,257,27703.21,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
