year,index_type,index_name,country,index_value,data_from_table,released_on,updated_on,data_source,data_url
2013,Closing Value of International Indices,Ftse Straits Times,United Kingdom,3167.43,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Closing Value of International Indices,Ftse Straits Times,United Kingdom,3365.15,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Closing Value of International Indices,Ftse Straits Times,United Kingdom,2882.73,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016,Closing Value of International Indices,Ftse Straits Times,United Kingdom,2880.76,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017,Closing Value of International Indices,Ftse Straits Times,United Kingdom,3402.92,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Closing Value of International Indices,Ftse Straits Times,United Kingdom,3068.76,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Closing Value of International Indices,Ftse Straits Times,United Kingdom,3222.83,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Closing Value of International Indices,Ftse Straits Times,United Kingdom,2843.81,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Closing Value of International Indices,Ftse Straits Times,United Kingdom,3123.68,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Closing Value of International Indices,Ftse Straits Times,United Kingdom,3251.32,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Closing Value of International Indices,Ftse Straits Times,United Kingdom,3240.27,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Closing Value of International Indices,Ftse Straits Times,United Kingdom,3787.6,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Closing Value of International Indices,Ftse Straits Times,United Kingdom,3972.43,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013,Closing Value of International Indices,Shh Series,China (Mainland),2115.9775,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Closing Value of International Indices,Shh Series,China (Mainland),3234.6773,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Closing Value of International Indices,Shh Series,China (Mainland),3539.1819,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
