fiscal_year,market_intermediaries,value,data_from_table,released_on,updated_on,data_source,data_url
2018-19,Brokers (Commodity Derivatives),1708,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Brokers (Commodity Derivatives),1745,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Brokers (Commodity Derivatives),1702,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Brokers (Commodity Derivatives),1636,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Brokers (Commodity Derivatives),1542,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Brokers (Commodity Derivatives),1534,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Brokers (Commodity Derivatives),1442,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Sub-brokers(Cash Segment),51885,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Sub-brokers(Cash Segment),42409,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Sub-brokers(Cash Segment),34942,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Sub-brokers(Cash Segment),30610,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Sub-brokers(Cash Segment),21098,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Sub-brokers(Cash Segment),,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Sub-brokers(Cash Segment),,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Sub-brokers(Cash Segment),,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Sub-brokers(Cash Segment),,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Sub-brokers(Cash Segment),,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Sub-brokers(Cash Segment),,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Sub-brokers(Cash Segment),,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Foreign Institutional Investors,1710,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Foreign Institutional Investors,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Foreign Institutional Investors,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Foreign Institutional Investors,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Foreign Institutional Investors,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Foreign Institutional Investors,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Foreign Institutional Investors,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Foreign Institutional Investors,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Foreign Institutional Investors,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Foreign Institutional Investors,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Foreign Institutional Investors,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Foreign Institutional Investors,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Sub-accounts,6344,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Sub-accounts,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Sub-accounts,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Sub-accounts,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Sub-accounts,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Sub-accounts,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Sub-accounts,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Sub-accounts,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Sub-accounts,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Sub-accounts,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Sub-accounts,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Sub-accounts,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Foreign Portfolio Investors (FPIs),,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Foreign Portfolio Investors (FPIs),1444,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Foreign Portfolio Investors (FPIs),4311,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Foreign Portfolio Investors (FPIs),7807,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Foreign Portfolio Investors (FPIs),9227,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Foreign Portfolio Investors (FPIs),9390,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Foreign Portfolio Investors (FPIs),9679,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Foreign Portfolio Investors (FPIs),9975,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Foreign Portfolio Investors (FPIs),10608,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Foreign Portfolio Investors (FPIs),11081,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Foreign Portfolio Investors (FPIs),11219,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Foreign Portfolio Investors (FPIs),11866,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Deemed FPIs,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Deemed FPIs,6772,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Deemed FPIs,4406,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Deemed FPIs,974,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Deemed FPIs,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Deemed FPIs,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Deemed FPIs,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Deemed FPIs,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Deemed FPIs,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Deemed FPIs,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Deemed FPIs,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Deemed FPIs,,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Custodians,19,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Custodians,19,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Custodians,19,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Custodians,19,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Custodians,19,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Custodians,20,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Custodians,19,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Custodians,18,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Custodians,17,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Custodians,17,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Custodians,17,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Custodians,17,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Depositories,2,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Depository Participants - NSDL,281,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Depository Participants - NSDL,282,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Depository Participants - NSDL,273,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Depository Participants - NSDL,276,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Depository Participants - NSDL,276,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Depository Participants - NSDL,277,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Depository Participants - NSDL,279,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Depository Participants - NSDL,272,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Depository Participants - NSDL,277,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Depository Participants - NSDL,283,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Depository Participants - NSDL,281,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Depository Participants - NSDL,294,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Depository Participants - CDSL,578,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Depository Participants - CDSL,572,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
