fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,ipos_ipos_mainboard_no_of_issues,ipos_ipos_mainboard_amount_cr,ipos_ipos_sme_platform_no_of_issues,ipos_ipos_sme_platform_amount_cr,ipos_total_no_of_issues,ipos_total_amount_cr,other_than_ipos_fpos_no_of_issues,other_than_ipos_fpos_amount_cr,other_than_ipos_rights_no_of_issues,other_than_ipos_rights_amount_cr,released_on,updated_on,data_source,data_url
2018-19,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,55.5,0,-0.00039999999999906777,5,55.5004,5,55.5,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,764.66,0,0,2,49.41,2,49.41,0,0,2,715.25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),8,2030.46,2,1664.182,4,111.548,6,1775.73,0,0,2,254.73,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),6,53.29,0,-0.00030000000000285354,5,26.8303,5,26.83,0,0,1,26.46,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),10,361.36,1,211.03832000000003,8,125.50168,9,336.54,0,0,1,24.82,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),9,28207.60396,3,3133.65836,4,61.9456,7,3195.60396,0,0,2,25012,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,24478.29,0,0,5,105.83000000000001,5,105.83000000000001,0,0,2,24372.46,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),9,557.687,1,463.84520000000003,6,72.12480000000001,7,535.97,1,11.75,1,9.967,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),8,2023.37,1,458.9952,4,40.574799999999996,5,499.57,0,0,3,1523.8,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,4148.93,1,4039.49,2,7.529999999999999,3,4047.02,0,0,1,101.91,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
