fiscal_year,month,month_numeric,data_from_table,upgraded_no,upgraded_amount_cr,downgraded_no,downgraded_amount_cr,reaffirmed_no,reaffirmed_amount_cr,rating_watch_no,rating_watch_amount_cr,withdrawn_suspended_no,withdrawn_suspended_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2016-17,November,11,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),49,5766,6,8018,172,577812,4,3000,57,4017,288,598613,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),25,8309.36,27,29115.600000000002,249,789685.7775000001,18,3479.24,68,16561.02,387,847150.9975,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,January,1,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),15,9825.83,5,1338.5,90,583933.88,1,40,41,17757.5,152,612895.71,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,February,2,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),7,5404.7,13,55462.670000000006,186,318497.25999999995,1,7500,53,83455.14,260,470319.76999999996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,March,3,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),25,6733.66,29,10725.95,171,1261926.3140999998,9,11932.25,40,29605.489999999994,274,1320923.6641,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,April,4,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),11,19557.17,14,9678.8,181,807639.496,2,1591.26,64,24349.25,272,862815.976,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,May,5,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),24,8266.27,27,117005.36,137,545575.6499999998,9,55832.14,87,19714.71,284,746394.1299999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,June,6,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),40,18343.99,30,19734.28,434,931612.743,3,384.87,70,14682.289999999999,577,984758.1730000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,July,7,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),56,6917.24,73,33747.600000000006,369,968893.2099999998,13,4045,82,25023.95,593,1038626.9999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,August,8,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),29,7757.42,27,37924.34,223,704136.5600000002,5,2059.5,76,11812.149999999998,360,763689.9700000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,September,9,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),29,10649.7,24,27855.620000000003,625,2125609.7530000005,14,9095.89,98,59432.8,790,2232643.7630000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
