fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,gross_purchases_rupees_crore,gross_sales_rupees_crore,net_investment_rupees_crore,net_investment_usd_mn,cumulative_net_investment_usd_mn
2019-20,2019,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-09-01,145474.06,138891.64,6582.42,935.92,253730.59000000008
2019-20,2019,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-10-01,147029.83,130961.15,16068.68,2260.8,255991.39000000007
2019-20,2019,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-11-01,185897.4,162898.72,22998.68,3233.48,259224.87000000008
2019-20,2019,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-12-01,144934.82,142172.43,2762.39,386.48,259611.3500000001
2019-20,2020,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-01-01,144432.52,143475.03,957.49,146.11,259757.46000000008
2019-20,2020,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-02-01,183206.87,174236.65,8970.22,1271.4,261028.86000000007
2019-20,2020,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-03-01,197990.07,316193.14,-118203.07,-15923.84,245105.02000000008
2020-21,2020,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-04-01,144753.65,159612.19,-14858.54,-1961.18,243143.84000000008
2020-21,2020,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-05-01,150169.19,157525.04,-7355.85,-972.51,242171.33000000007
2020-21,2020,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-06-01,202141.05,176131.62,26009.43,3440.94,245612.27000000008
