fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,category_i_equity,category_i_debt,category_i_debt_vrr,category_i_debt_far,category_i_mf_aifs,category_i_hybrid,category_i_total,category_ii_equity,category_ii_debt,category_ii_debt_vrr,category_ii_debt_far,category_ii_mf_aifs,category_ii_hybrid,category_ii_total,category_iii_equity,category_iii_debt,category_iii_debt_vrr,category_iii_hybrid,category_iii_total
2022-23,2022,June,6,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-06-01,3917263,195777,71685,,,31417,4216142,212918,45353,63753,,,2201,324225,0,0,0,0,0
2022-23,2022,July,7,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-07-01,4282011,193924,70687,,,31144,4577766,238269,46088,64460,,,2313,351130,0,0,0,0,0
2022-23,2022,August,8,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-08-01,4534846,196052,73035,,,29845,4833778,256830,47039,66715,,,2313,372897,0,0,0,0,0
2022-23,2022,September,9,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-09-01,4363934,198962,71893,,,30412,4665201,245950,46504,67067,,,2416,361937,0,0,0,0,0
2022-23,2022,October,10,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-10-01,4537037,195857,71897,,,29979,4834770,258030,46610,67832,,,2407,374879,0,0,0,0,0
2022-23,2022,November,11,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-11-01,4717657,193800,71019,,,29068,5011544,266331,47176,68307,,,2367,384181,0,0,0,0,0
2022-23,2022,December,12,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-12-01,4572682,192483,70717,,,28985,4864867,259471,46527,69418,,,2346,377762,0,0,0,0,0
2022-23,2023,January,1,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-01-01,4360326,194822,69478,,,28444,4653071,240516,45614,70068,,,2336,358533,0,0,0,0,0
2022-23,2023,February,2,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-02-01,4190031,198630,68629,,,26816,4484106,228857,45268,69998,,,2284,346406,0,0,0,0,0
2022-23,2023,March,3,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-03-01,4222780,203100,69682,,,27613,4523178,233432,37269,71028,,,3459,345187,0,0,0,0,0
2023-24,2023,April,4,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-04-01,4422932,204485,71077,,,28094,4726589,245532,34706,71926,,,3554,355718,0,0,0,0,0
2023-24,2023,May,5,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-05-01,4622562,209382,71547,,,26885,4930376,254447,32953,71829,,,3457,362685,0,0,0,0,0
