fiscal_year,stock_exchange,proprietorship,partnership,corporate,limited_liability_partnership_llp,total,data_from_table,released_on,updated_on,data_source,data_url
2020-21,Gauhati,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Gauhati,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Gauhati,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Gauhati,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Gauhati,0,0,0,,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,ISE,507,24,304,0,835,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,ISE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,ISE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,ISE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,ISE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,ISE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,ISE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,ISE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,ISE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,ISE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,ISE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,ISE,0,0,0,,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Jaipur,415,6,18,0,439,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Jaipur,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Jaipur,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Jaipur,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Jaipur,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Jaipur,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Jaipur,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Jaipur,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Jaipur,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Jaipur,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Jaipur,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Jaipur,0,0,0,,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Ludhiana,215,2,86,0,303,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Ludhiana,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Ludhiana,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Ludhiana,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Ludhiana,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Ludhiana,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Ludhiana,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Ludhiana,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Ludhiana,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Ludhiana,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Ludhiana,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Ludhiana,0,0,0,,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Madras,89,12,76,0,177,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Madras,88,12,77,0,177,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Madras,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Madras,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Madras,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Madras,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Madras,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Madras,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Madras,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Madras,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Madras,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Madras,0,0,0,,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,MSEI,22,14,493,0,529,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,MSEI,53,31,845,0,929,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,MSEI,23,14,489,0,526,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,MSEI,21,11,427,0,459,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,MSEI,21,10,398,1,430,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,MSEI,18,9,350,1,378,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,MSEI,16,8,322,0,346,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,MSEI,16,8,293,1,318,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,MSEI,15,8,286,2,311,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,MSEI,15,7,278,3,303,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,MSEI,15,7,270,3,295,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,MSEI,15,7,266,3,291,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,MPSE,201,1,80,0,282,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,MPSE,199,1,81,0,281,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,MPSE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,MPSE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,MPSE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,MPSE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,MPSE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,MPSE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,MPSE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,MPSE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,MPSE,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,MPSE,,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,NSE,70,79,1167,0,1316,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,NSE,79,83,1256,0,1418,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,NSE,73,82,1169,0,1324,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,NSE,73,80,1171,4,1328,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,NSE,70,83,1158,7,1318,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,NSE,69,81,1150,14,1314,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,NSE,61,71,1139,18,1289,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,NSE,55,62,1126,18,1261,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,NSE,54,52,1099,22,1227,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,NSE,52,43,1105,26,1226,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,NSE,46,42,1093,31,1212,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,NSE,45,41,1090,37,1213,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,OTCEI,132,13,471,0,616,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,OTCEI,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,OTCEI,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,OTCEI,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,OTCEI,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,OTCEI,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,OTCEI,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,OTCEI,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,OTCEI,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,OTCEI,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,OTCEI,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,OTCEI,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Pune,115,7,47,0,169,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Pune,114,7,46,0,167,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Pune,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
