fiscal_year,month,month_numeric,data_from_table,equity_public_issues_no_of_issues,equity_public_issues_amount_cr,equity_qip_preferential_no_of_issues,equity_qip_preferential_amount_cr,debt_public_issues_no_of_issues,debt_public_issues_amount_cr,debt_private_placement_no_of_issues,debt_private_placement_amount_cr,reits_invits_no_of_issues,reits_invits_amount_cr,total_funds_mobilized_no_of_issues,total_funds_mobilized_amount_cr,released_on,updated_on,data_source,data_url
2018-19,November,11,Table 12: Funds Mobilised by all Instruments,5,55.5,34,24259.465,1,262.02,158,55214.81,0,0,198,79791.795,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,December,12,Table 12: Funds Mobilised by all Instruments,4,764.66,36,3215.3719699999997,1,263.61,185,84925.07,0,0,226,89168.71197,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,January,1,Table 12: Funds Mobilised by all Instruments,8,2030.46,27,20355.26204958,5,3992.03,284,83587.22,0,0,324,109964.97204958,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,February,2,Table 12: Funds Mobilised by all Instruments,6,53.29,27,12996.718976,2,1286.48,183,39298.48,0,0,218,53634.968976000004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,March,3,Table 12: Funds Mobilised by all Instruments,10,361.36,24,28585.4755488,3,2835.67,220,114056.77,2,11390,259,157229.2755488,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,April,4,Table 12: Funds Mobilised by all Instruments,9,28207.60396,24,39000.600421446004,5,2191.0699999999997,224,70064.22,0,0,262,139463.494381446,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,May,5,Table 12: Funds Mobilised by all Instruments,7,24478.29,36,19851.160286534003,5,1166.13,140,43577.24,1,2514.06,189,91586.880286534,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,June,6,Table 12: Funds Mobilised by all Instruments,9,557.687,27,15477.8613,2,936.46,171,49071.61,1,2306,210,68349.6183,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,July,7,Table 12: Funds Mobilised by all Instruments,8,2023.37,31,6496.009967999999,0,0,162,46081.73,0,0,201,54601.109968000004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,August,8,Table 12: Funds Mobilised by all Instruments,4,4148.93,17,2265.2511015899995,5,3121.69,123,40309,0,0,149,49844.871101590004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
