fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,equity_crore,debt_crore,debt_vrr_crore,debt_far,mf_aifs,hybrid_crore,total_crore
2017-18,2017,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-04-01,2394,20364,,,,0,22758
2017-18,2017,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-05-01,7711,19155,,,,0,26866
2017-18,2017,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-06-01,3617,25685,,,,0,29302
2017-18,2017,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-07-01,5161,18867,,,,0,24028
2017-18,2017,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-08-01,-12770,15447,,,,0,2677
2017-18,2017,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-09-01,-11392,1349,,,,0,-10043
2017-18,2017,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-10-01,3055,16064,,,,0,19119
2017-18,2017,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-11-01,19728,531,,,,0,20258
2017-18,2017,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-12-01,-5883,2350,,,,-11,-3544
2017-18,2018,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-01-01,13781,8523,,,,-32,22272
2017-18,2018,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-02-01,-11423,-254,,,,3,-11674
2017-18,2018,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-03-01,11654,-9044,,,,51,2662
2018-19,2018,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-04-01,-5552,-10036,,,,26,-15561
2018-19,2018,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-05-01,-10060,-19654,,,,-61,-29776
2018-19,2018,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-06-01,-4831,-10970,,,,7,-15795
2018-19,2018,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-07-01,2264,43,,,,-43,2264
2018-19,2018,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-08-01,1775,3414,,,,-44,5146
2018-19,2018,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-09-01,-10825,-10198,,,,-11,-21035
2018-19,2018,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-10-01,-28921,-9978,,,,-6,-38906
2018-19,2018,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-11-01,5981,5610,,,,4,11595
2018-19,2018,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-12-01,3143,4749,,,,-3,7889
2018-19,2019,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-01-01,-4262,-1301,,,,7,-5556
2018-19,2019,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-02-01,17220,-6037,,,,871,12053
2018-19,2019,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-03-01,33981,12002,,,,2769,48751
2019-20,2019,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-04-01,21193,-5099,,,,634,16728
2019-20,2019,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-05-01,7920,1187,,,,2264,11370
2019-20,2019,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-06-01,2596,8319,,,,2196,13111
2019-20,2019,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-07-01,-12419,9433,,,,-17,-3003
2019-20,2019,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-08-01,-17592,11672,,,,49,-5871
2019-20,2019,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-09-01,7548,-990,,,,25,6582
2019-20,2019,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-10-01,12368,3670,,,,31,16069
2019-20,2019,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-11-01,25231,-2358,,,,126,22999
2019-20,2019,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-12-01,7338,-4616,,,,40,2762
2019-20,2020,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-01-01,12123,-11648,529,,,-46,957
